REGION,EMPRESA,CONTRACTS
HUANUCO,20489466741,1
HUANUCO,20489530261,2
HUANUCO,20489532981,5
HUANUCO,20489536979,7
HUANUCO,20489537274,1
HUANUCO,20489544998,2
HUANUCO,20489595045,4
HUANUCO,20489601541,1
HUANUCO,20489613558,2
HUANUCO,20489643627,1
HUANUCO,20489649587,1
HUANUCO,20489660122,1
HUANUCO,20489661951,2
HUANUCO,20489674000,1
HUANUCO,20489680310,1
HUANUCO,20489688647,2
HUANUCO,20489747244,9
HUANUCO,20492255981,1
HUANUCO,20494686369,1
HUANUCO,20495675611,2
HUANUCO,20505096721,1
HUANUCO,20506298301,1
HUANUCO,20510591829,8
HUANUCO,20516615088,1
HUANUCO,20523013603,2
HUANUCO,20527942773,1
HUANUCO,20528905197,3
HUANUCO,20528917951,1
HUANUCO,20528924493,2
HUANUCO,20528932321,1
HUANUCO,20528950494,5
HUANUCO,20529014211,1
HUANUCO,20529066521,2
HUANUCO,20529161353,1
HUANUCO,20529169842,1
HUANUCO,20529202998,1
HUANUCO,20529276843,1
HUANUCO,20529286997,2
HUANUCO,20530806341,1
HUANUCO,20530837816,1
HUANUCO,20531055722,2
HUANUCO,20531065019,1
HUANUCO,20533984992,1
HUANUCO,20534004185,1
HUANUCO,20534013508,2
HUANUCO,20542141116,1
HUANUCO,20542191059,3
HUANUCO,20542408562,3
HUANUCO,20542425653,1
HUANUCO,20542425904,3
HUANUCO,20542449081,1
HUANUCO,20542531097,2
HUANUCO,20542542021,1
HUANUCO,20542559854,1
HUANUCO,20547097069,1
HUANUCO,20565597958,1
HUANUCO,20571184151,1
HUANUCO,20573008414,1
HUANUCO,20573041977,1
HUANUCO,20573078897,3
HUANUCO,20573140959,2
HUANUCO,20573177879,1
HUANUCO,20573247249,1
HUANUCO,20573247591,1
HUANUCO,20573263104,1
HUANUCO,20573266201,1
HUANUCO,20573320779,2
HUANUCO,20573333081,2
HUANUCO,20600013255,1
HUANUCO,20600106351,1
HUANUCO,20600369319,2
HUANUCO,20600683650,1
HUANUCO,20601263158,2
HUANUCO,20601556791,1
HUANUCO,20601629641,2
HUANUCO,20601740631,1
HUANUCO,20601754259,1
HUANUCO,20602102727,2
HUANUCO,20602172571,2
HUANUCO,20602450881,1
HUANUCO,20602500463,1
HUANUCO,20602631258,2
HUANUCO,20602653138,1
HUANUCO,20602889191,1
HUANUCO,20603064101,2
HUANUCO,20603194676,1
HUANUCO,20603976275,1
HUANUCO,20604155755,1
HUANUCO,20604215502,1
HUANUCO,20604347778,1
HUANUCO,20604540764,1
HUANUCO,20604740968,1
HUANUCO,20605162925,1
HUANUCO,20605163841,1
HUANUCO,20605409041,1
HUANUCO,20606260106,1
HUANUCO,20606474254,1
HUANUCO,20606482435,1
HUANUCO,20608077163,2
HUANUCO,20610153021,1
HUANUCO,99000015250,1
ICA,20100136741,1
ICA,20261295246,1
ICA,20268887785,1
ICA,20367759551,4
ICA,20445575411,1
ICA,20452371414,2
ICA,20452457726,1
ICA,20452468418,2
ICA,20452808022,1
ICA,20485988468,1
ICA,20486753791,2
ICA,20494263484,3
ICA,20494633834,1
ICA,20494642582,1
ICA,20494951020,1
ICA,20495031137,1
ICA,20503981298,1
ICA,20504645046,1
ICA,20508326433,3
ICA,20510711824,1
ICA,20514444341,1
ICA,20517562158,2
ICA,20523386469,2
ICA,20527267511,1
ICA,20527479704,2
ICA,20531659075,1
ICA,20532002819,1
ICA,20534393572,1
ICA,20534500247,1
ICA,20534749008,1
ICA,20536704231,1
ICA,20537169207,2
ICA,20547282559,2
ICA,20600472233,2
ICA,20600689020,1
ICA,20602258395,1
ICA,20603476400,1
JUNIN,20101884407,1
JUNIN,20110614609,1
JUNIN,20232650444,1
JUNIN,20282062080,1
JUNIN,20351575574,2
JUNIN,20372366169,1
JUNIN,20377890117,1
JUNIN,20398613563,1
JUNIN,20402277689,1
JUNIN,20407412592,1
JUNIN,20438494171,1
JUNIN,20444927098,1
JUNIN,20452440912,1
JUNIN,20452526809,1
JUNIN,20461112227,1
JUNIN,20486439654,1
JUNIN,20486572061,1
JUNIN,20486573113,2
JUNIN,20486693283,1
JUNIN,20486774445,1
JUNIN,20486887568,1
JUNIN,20486960401,2
JUNIN,20486975939,1
JUNIN,20486988755,1
JUNIN,20486990229,1
JUNIN,20487181910,1
JUNIN,20487201457,1
JUNIN,20487274683,1
JUNIN,20487345025,1
JUNIN,20487499685,1
JUNIN,20487950301,1
JUNIN,20489517320,1
JUNIN,20489575362,1
JUNIN,20494257590,1
JUNIN,20494854172,3
JUNIN,20495042333,1
JUNIN,20501430669,1
JUNIN,20509186961,1
JUNIN,20511317038,1
JUNIN,20514014419,1
JUNIN,20514402346,1
JUNIN,20523070071,1
JUNIN,20528901361,1
JUNIN,20529104988,1
JUNIN,20529166151,1
JUNIN,20536612972,1
JUNIN,20536715518,1
JUNIN,20541462644,1
JUNIN,20546099220,1
JUNIN,20547097069,1
JUNIN,20548123888,1
JUNIN,2056337300,1
JUNIN,20568071876,1
JUNIN,20568112220,1
JUNIN,20568161786,1
JUNIN,20568223307,1
JUNIN,20568437528,1
JUNIN,20568535376,1
JUNIN,20568838352,2
JUNIN,20568986386,1
JUNIN,20568992351,1
JUNIN,20573907788,1
JUNIN,20574732400,2
JUNIN,20574750301,1
JUNIN,20600021045,1
JUNIN,20600192087,1
JUNIN,20600243226,1
JUNIN,20600540581,1
JUNIN,20600683650,1
JUNIN,20600696654,1
JUNIN,20601143021,1
JUNIN,20601317738,1
JUNIN,20601665183,1
JUNIN,20602262201,1
JUNIN,20602267491,1
JUNIN,20602371442,3
JUNIN,20602591701,1
JUNIN,20602979173,3
JUNIN,20603016743,1
JUNIN,20603476400,1
JUNIN,20603798075,1
JUNIN,20604269009,1
JUNIN,20604384002,1
JUNIN,20605273557,1
LA LIBERTAD,10266095029,1
LA LIBERTAD,10266854892,2
LA LIBERTAD,20101884407,1
LA LIBERTAD,20121907608,1
LA LIBERTAD,20134483611,1
LA LIBERTAD,20205328662,1
LA LIBERTAD,20326387593,2
LA LIBERTAD,20354444594,1
LA LIBERTAD,20355337619,1
LA LIBERTAD,20397595782,1
LA LIBERTAD,20453649840,1
LA LIBERTAD,20461642706,1
LA LIBERTAD,20477150242,1
LA LIBERTAD,20477304908,2
LA LIBERTAD,20477378693,1
LA LIBERTAD,20477458883,1
LA LIBERTAD,20477460357,1
LA LIBERTAD,20477617434,1
LA LIBERTAD,20481014612,1
LA LIBERTAD,20481066094,3
LA LIBERTAD,20481188955,1
LA LIBERTAD,20481249172,1
LA LIBERTAD,20481561265,2
LA LIBERTAD,20481605491,2
LA LIBERTAD,20481693170,1
LA LIBERTAD,20481700729,1
LA LIBERTAD,20481813841,1
LA LIBERTAD,20481871027,2
LA LIBERTAD,20481966672,3
LA LIBERTAD,20482021442,1
LA LIBERTAD,20482093354,1
LA LIBERTAD,20482206574,1
LA LIBERTAD,20482259856,2
LA LIBERTAD,20482261168,1
LA LIBERTAD,20482644253,1
LA LIBERTAD,20482840516,1
LA LIBERTAD,20482843299,1
LA LIBERTAD,20489304687,1
LA LIBERTAD,20495865747,1
LA LIBERTAD,20495934498,1
LA LIBERTAD,20501430669,2
LA LIBERTAD,20504553516,1
LA LIBERTAD,20511317038,2
LA LIBERTAD,20523386469,1
LA LIBERTAD,20529440074,1
LA LIBERTAD,20529656751,5
LA LIBERTAD,20529688017,2
LA LIBERTAD,20529698918,1
LA LIBERTAD,20530698433,3
LA LIBERTAD,20530954022,3
LA LIBERTAD,20531309091,1
LA LIBERTAD,20531750749,1
LA LIBERTAD,20537169207,1
LA LIBERTAD,20539094930,5
LA LIBERTAD,20539979885,1
LA LIBERTAD,20544771478,6
LA LIBERTAD,20559687643,1
LA LIBERTAD,20560076798,1
LA LIBERTAD,20600167571,1
LA LIBERTAD,20600357710,1
LA LIBERTAD,20601114870,1
LA LIBERTAD,20601226279,1
LA LIBERTAD,20601649161,1
LA LIBERTAD,20602206085,1
LA LIBERTAD,20602842330,1
LA LIBERTAD,20603089619,1
LA LIBERTAD,20603476400,2
LA LIBERTAD,20603716176,1
LA LIBERTAD,20606525690,1
LA LIBERTAD,99000027401,1
LA LIBERTAD,99000028271,1
LAMBAYEQUE,10098726701,1
LAMBAYEQUE,10166907271,2
LAMBAYEQUE,10266854892,1
LAMBAYEQUE,10273601398,1
LAMBAYEQUE,10421685253,1
LAMBAYEQUE,20134483611,1
LAMBAYEQUE,20230509353,2
LAMBAYEQUE,20326387593,1
LAMBAYEQUE,20339450197,1
LAMBAYEQUE,20348938704,1
LAMBAYEQUE,20353947614,3
LAMBAYEQUE,20396674361,1
LAMBAYEQUE,20397392164,1
LAMBAYEQUE,20409234462,1
LAMBAYEQUE,20445576060,1
LAMBAYEQUE,20448297382,1
LAMBAYEQUE,20453695957,1
LAMBAYEQUE,20477366172,1
LAMBAYEQUE,20479892998,1
LAMBAYEQUE,20480305991,1
LAMBAYEQUE,20480403496,3
LAMBAYEQUE,20480489196,1
LAMBAYEQUE,20480686692,1
LAMBAYEQUE,20480811004,1
LAMBAYEQUE,20481446326,1
LAMBAYEQUE,20481813841,1
LAMBAYEQUE,20487566897,2
LAMBAYEQUE,20487913791,2
LAMBAYEQUE,20487931854,1
LAMBAYEQUE,20487950301,2
LAMBAYEQUE,20487967964,2
